input,solovay mean,solovay stddev,miller mean, miller stddev
489779,1352.84,97.34440783822016,1073.42,371.46869792130997
501187,975.49,360.604304668503,922.18,162.30924343687425
512861,1386.03,195.6953133229451,1070.57,178.75372454973922
524807,1214.68,278.13269415075166,946.85,163.45390571329054
537033,856.13,561.0498214251672,1016.85,166.02624686014144
549541,923.42,142.38269529402766,1002.42,150.91821184557782
562341,797.09,587.2853675422988,1010.04,153.82601479685684
575441,1164.81,154.42802219935356,1721.36,646.914081379335
588845,1099.36,703.1864634819434,1059.44,176.05372917253297
602561,1323.93,113.26533209480057,1053.78,174.26941756656538
616595,705.64,418.83340918134115,1010.61,166.6503564746602
630957,921.54,531.2874475452925,1024.64,162.67992494403845
645655,820.05,357.5587646835414,1069.03,180.46457751418637
660693,888.67,547.6649800781864,1027.13,174.35304106694826
676083,722.43,394.6546439354261,1024.17,153.8736891811664
691831,1179.73,434.3494579439022,1081.73,307.74713662520094
707947,1376.78,604.6195494655789,1058.31,163.06996050837205
724437,1022.13,1318.1805539562033,1052.12,155.61862732885535
741311,1557.93,1173.803540898673,1103.09,158.26573325654647
758579,1561.93,1056.2341553888996,932.98,144.3108303543977
776247,1187.87,1209.5786114481057,1052.71,163.7704907373842
794329,1541.2,1019.8169077106566,1131.96,323.19950119973515
812831,1583.61,1557.3250952913595,1057.69,163.262117746001
831765,808.53,1313.6144942466763,1210.0,323.42326147110396
851139,1091.19,1047.889198157974,1079.76,190.785464156296
870965,1228.52,1097.1139686477525,1046.07,175.65842974191114
891251,1532.55,993.9841611546251,949.25,152.9621577945726
912011,1534.23,1031.9006280459453,1062.37,171.35972294114114
933255,1027.96,1306.0835427360917,1056.71,161.05217769218132
954993,1027.98,1206.3300717549082,1064.52,183.68382365006195
977237,1568.02,956.2947749337842,1194.09,960.185704839318
1000001,1330.59,178.5731943981956,1294.29,1814.9798078571816
1023293,1539.33,996.6782208208352,1107.48,171.65171926687108
1047129,1134.02,717.2294616132696,1118.54,170.06507488890747
1071519,1149.66,1320.8968809490807,1059.92,162.6299436938308
1096479,1222.57,1433.1935467777025,1070.76,154.58266527667453
1122019,1711.85,2472.441971109746,1085.52,184.7539165943978
1148155,1186.91,506.892953754199,1067.69,164.03502305263592
1174899,1107.14,1301.7862554772557,1099.04,166.118548396054
1202265,778.59,631.737624462574,1059.1,172.6387306288229
1230269,2519.11,11263.387713550375,1091.54,155.928785869147
1258925,1785.63,5532.550422259926,1092.87,152.82297509593155
1288251,1033.1,591.4112295385017,1098.76,194.3614834853508
1318257,1024.53,555.5566951402454,1082.81,175.27223817463917
1348963,1015.59,540.460019078398,1046.01,153.98789766167545
1380385,1238.59,1904.2598450512864,1063.62,322.6009443459974
1412539,1080.77,247.63751837120822,989.84,153.11609908164397
1445441,1303.89,110.7342706070198,1080.56,180.19166675425572
1479109,1349.64,103.84005960995006,1379.39,719.3314221195158
1513561,835.08,413.68290886971516,1067.61,185.04113083584983
1548817,1306.22,230.0950431645343,1114.99,202.94426238837997
1584893,1015.99,246.49459579791147,1113.98,194.93650766391093
1621811,1385.15,242.0385383371913,1120.12,327.2124161038594
1659587,1328.91,110.24674758710732,938.99,154.13030660496798
1698245,802.91,420.26343578111283,1092.69,179.07420136904034
1737801,866.31,554.3002995860746,1204.25,313.6112363671901
1778279,1026.66,149.38616624931058,1691.37,1489.4604111095489
1819701,976.13,607.213583893383,1717.1,1286.9294087207365
1862087,1032.53,149.86744681938643,1628.65,1194.3371804080502
1905461,1449.28,540.5461712308424,1714.43,157.80862050937114
1949845,867.57,363.67674221523,1627.27,951.858329741874
1995263,1538.26,127.90144722410376,1563.29,954.1118276685233
2041739,912.95,372.17467320296987,1731.98,74.93255957758608
2089297,1155.99,537.2240751955343,1923.98,706.1710237240513
2137963,1056.64,163.47751953690576,1536.89,950.4093949876589
2187763,1517.74,528.8608038973865,1742.04,63.17746689471115
2238721,1566.38,1171.7362303587588,3061.62,986.4956626996658
2290869,915.49,1430.8233943284463,1744.66,987.8851630394773
2344229,1587.06,1084.0370471510464,1182.95,274.2014070280487
2398833,1158.8,1336.9833751601197,1728.2,96.46729701789822
2454709,1603.87,1075.6261568937139,1127.02,177.52922536468708
2511887,1627.91,1742.7482365679234,1694.64,69.78097335537991
2570397,1273.04,1268.4208899018472,1672.55,99.01151601218065
2630269,1623.47,1094.9989202983472,1098.49,185.36131764963278
2691535,1034.46,1250.7522618832477,1702.6,68.8450169847925
2754229,1587.43,1108.1911210197773,1147.81,229.83866519844318
2818383,1273.61,1293.9045512624875,1078.03,144.30512391415206
2884033,1519.38,1233.6512512444388,1089.07,146.7599741073839
2951209,1569.22,1033.9420844222336,1645.12,633.7998964080609
3019953,1156.93,615.9245699422826,1150.7,409.5124595729103
3090295,1381.22,1180.620001302175,1382.24,1070.146248100339
3162279,1168.92,1210.2954867521094,1047.52,151.19273137357501
3235937,1496.69,379.2517272554768,1091.82,162.66917409890593
3311311,1474.95,336.96261744525236,1102.95,152.4330205617398
3388443,1068.82,656.7962397928758,1098.3,133.97742158643555
3467369,1536.96,95.3443435049182,1131.7,245.1874772289543
3548135,1229.59,611.0305435504144,1131.07,166.057690778436
3630781,1247.76,631.9361641459964,1198.7,306.53724212252035
3715353,1118.24,585.3453287926657,1097.94,155.86408349986388
